Series 1: ,,,,,,,,,,,,
-0.799947908,6.9,-0.8,6.9,"( -0.8,  {6.9 - ( -0.5291*-0.8 + 6.5041 ) } )",,,,,,,,
-0.742808772,6.5,-0.7,6.5,"( -0.7,  {6.5 - ( -0.5291*-0.7 + 6.5041 ) } )",,,,,,,,
0.342834818,5.8,0.3,5.8,"( 0.3,  {5.8 - ( -0.5291*0.3 + 6.5041 ) } )",,,,,,,,
2.514121998,5.4,2.5,5.4,"( 2.5,  {5.4 - ( -0.5291*2.5 + 6.5041 ) } )",,,,,,,,
2.885525849,5.3,2.9,5.3,"( 2.9,  {5.3 - ( -0.5291*2.9 + 6.5041 ) } )",,,,,,,,
3.228360604,5.1,3.2,5.1,"( 3.2,  {5.1 - ( -0.5291*3.2 + 6.5041 ) } )",,,,,,,,
3.628334484,4.8,3.6,4.8,"( 3.6,  {4.8 - ( -0.5291*3.6 + 6.5041 ) } )",,,,,,,,
3.942599675,3.6,3.9,3.6,"( 3.9,  {3.6 - ( -0.5291*3.9 + 6.5041 ) } )",,,,,,,,
4.199725741,5.1,4.2,5.1,"( 4.2,  {5.1 - ( -0.5291*4.2 + 6.5041 ) } )",,,,,,,,
4.342573555,4.2,4.3,4.2,"( 4.3,  {4.2 - ( -0.5291*4.3 + 6.5041 ) } )",,,,,,,,
5.456786507,3.8,5.5,3.8,"( 5.5,  {3.8 - ( -0.5291*5.5 + 6.5041 ) } )",,,,,,,,
6.028177765,4,6,4,"( 6,  {4 - ( -0.5291*6 + 6.5041 ) } )",,,,,,,,
5.999608202,3.2,6,3.2,"( 6,  {3.2 - ( -0.5291*6 + 6.5041 ) } )",,,,,,,,
6.028177765,3.1,6,3.1,"( 6,  {3.1 - ( -0.5291*6 + 6.5041 ) } )",,,,,,,,
6.256734267,3.3,6.3,3.3,"( 6.3,  {3.3 - ( -0.5291*6.3 + 6.5041 ) } )",,,,,,,,
6.371012519,3.6,6.4,3.6,"( 6.4,  {3.6 - ( -0.5291*6.4 + 6.5041 ) } )",,,,,,,,
6.999542902,2.2,7,2.2,"( 7,  {2.2 - ( -0.5291*7 + 6.5041 ) } )",,,,,,,,
6.999542902,2.6,7,2.6,"( 7,  {2.6 - ( -0.5291*7 + 6.5041 ) } )",,,,,,,,
7.456655908,3,7.5,3,"( 7.5,  {3 - ( -0.5291*7.5 + 6.5041 ) } )",,,,,,,,
7.513795033,2.9,7.5,2.9,"( 7.5,  {2.9 - ( -0.5291*7.5 + 6.5041 ) } )",,,,,,,,
7.542364596,2.3,7.5,2.3,"( 7.5,  {2.3 - ( -0.5291*7.5 + 6.5041 ) } )",,,,,,,,
7.628073285,2,7.6,2,"( 7.6,  {2 - ( -0.5291*7.6 + 6.5041 ) } )",,,,,,,,
8.028047165,2.6,8,2.6,"( 8,  {2.6 - ( -0.5291*8 + 6.5041 ) } )",,,,,,,,
8.542299297,2.2,8.5,2.2,"( 8.5,  {2.2 - ( -0.5291*8.5 + 6.5041 ) } )",,,,,,,6.9,6900
9.113690554,1.2,9.1,1.2,"( 9.1,  {1.2 - ( -0.5291*9.1 + 6.5041 ) } )",,,,,,,6.5,6500
10.22790351,0.6,10.2,0.6,"( 10.2,  {0.6 - ( -0.5291*10.2 + 6.5041 ) } )",,,,,,,5.8,5800
,,,,,,,,#NAME?,,,5.4,5400
,,,,,,,,,,,5,5000
,,,,,,,,,,,5.1,5100
29.5,801,,,"( 29.5,  {801 - ( 121.87*29.5 - 3195.6 ) } )",,,,,,,4.8,4800
31.5,925,,,"( 31.5,  {925 - ( 121.87*31.5 - 3195.6 ) } )",,,,,,,3.6,3600
34,1050,,,"( 34,  {1050 - ( 121.87*34 - 3195.6 ) } )",,,,,,,5.1,5100
35,1116,,,"( 35,  {1116 - ( 121.87*35 - 3195.6 ) } )",,,,,,,4.2,4200
36.5,1109,,,"( 36.5,  {1109 - ( 121.87*36.5 - 3195.6 ) } )",,,,,,,3.8,3800
38,1253,,,"( 38,  {1253 - ( 121.87*38 - 3195.6 ) } )",,,,,,,3.9,3900
42,1638,,,"( 42,  {1638 - ( 121.87*42 - 3195.6 ) } )",,,,,,,3.2,3200
47,2122,,,"( 47,  {2122 - ( 121.87*47 - 3195.6 ) } )",,,,,,,3,3000
49.5,2467,,,"( 49.5,  {2467 - ( 121.87*49.5 - 3195.6 ) } )",,,,,,,3.3,3300
55,3339,,,"( 55,  {3339 - ( 121.87*55 - 3195.6 ) } )",,,,,,,3.5,3500
62,5091,,,"( 62,  {5091 - ( 121.87*62 - 3195.6 ) } )",,,,,,,2.2,2200
,,,,,,,,,,,2.6,2600
,,,,,,,,,,,2.9,2900
,,,,,,,,,,,2.7,2700
,,,,,,,,,,,2.5,2500
,,,,,,,,,,,2,2000
                ,,,,,,,,,,,2.6,2600
                ,,,,,,,,,,,2.1,2100
                ,,,,,,,,,,,1.4,1400
                ,,,,,,,,,,,0.8,800
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
                ,,,,,,,,,,,,
